Method,Classifier,Accuracy,Precision,Recall,F1-Score,Vectorization_Time (s)
Bag of Words,Logistic Regression,0.8741,0.8708791208791209,0.8807303036316729,0.8757770103601381,4.491933822631836
Bag of Words,Linear SVM,0.8645,0.8616018845700825,0.8710061520142885,0.866278496003158,4.491933822631836
TF-IDF,Logistic Regression,0.8865,0.8778552071234998,0.8999801547926176,0.8887800097991181,3.1332786083221436
TF-IDF,Linear SVM,0.8805,0.8752440452948067,0.8896606469537607,0.8823934652101171,3.1332786083221436
GloVe,Logistic Regression,0.7949,0.7989195678271308,0.7924191307799167,0.795656072531633,8.042094945907593
GloVe,Linear SVM,0.7958,0.8,0.7930144870013892,0.7964919274466813,8.042094945907593
